"Experiment","Run","Number","Feature","Margs","Margs..S4.32.Feature1.troot.x4.x4..1.S4.32.Feature2.x2.x4.0.982607409415272.S4.32.Feature3.x4.0.100633756680082.S4.32.Feature4.x5.0.0892504291746703.S4.32.Feature5.x4.x6.0.0179087434483708.S5.32.Feature1.troot.x4.x4..0.999994805032588.S5.32.Feature2.x4.0.999374371671173.S5.32.Feature3.x4.x9.0.839862507379332.S5.32.Feature4.x4.x4.0.166584207015835.S5.32.Feature5.x10.x4.0.163091295976507.S6.32.Feature1.x4.1.S6.32.Feature2.x10.x4.0.999999999410585.S6.32.Feature3.x4.troot.x4..0.999999976052129..Experiment.Run.Number.Feature.Margs"
"S3",16,"Feature4","x10",0.16269732481301,NA
"S3",16,"Feature5","x8",0.0126387235060633,NA
"S3",16,"Feature6","(x4*x10)*x7",0.00949297116068834,NA
"S4",16,"Feature1","x4*troot(x4)",1,NA
"S4",16,"Feature2","x4",1,NA
"S4",16,"Feature3","x4*x10",0.992650038028797,NA
"S4",16,"Feature4","x2",0.198098815243247,NA
"S4",16,"Feature5","x10",0.122168056430079,NA
"S4",16,"Feature6","x6*(x4*x10)",0.00735518833455828,NA
"S5",16,"Feature1","x4*x2",0.999956936271311,NA
"S5",16,"Feature2","troot(x4*x4)",0.999844631211445,NA
"S5",16,"Feature3","x2",0.195248397122085,NA
"S6",16,"Feature1","x4",1,NA
"S6",16,"Feature2","x4*troot(x4)",0.999999999359133,NA
"S6",16,"Feature3","x4*x10",0.999992266785954,NA
"S1",17,"Feature1","troot(x4*(x4*x7))",1,NA
"S1",17,"Feature2","x7",0.0915281066863159,NA
"S1",17,"Feature3","x9",0.0708697685035106,NA
"S2",17,"Feature1","troot(x4*(x7*x4))",0.582732697099447,NA
"S2",17,"Feature2","troot(x4*(x6*x4))",0.417267314745768,NA
"S2",17,"Feature3","x6",0.0807961584914359,NA
"S3",17,"Feature1","troot(x4)*troot(x4)",1,NA
"S3",17,"Feature2","x3*x4",0.694766138894149,NA
"S3",17,"Feature3","x4",0.391647369901012,NA
"S3",17,"Feature4","x6*x4",0.305716930269475,NA
"S3",17,"Feature5","x6",0.211213990896559,NA
"S3",17,"Feature6","x3",0.0376326899659119,NA
"S4",17,"Feature1","troot(x4*x4)",1,NA
"S4",17,"Feature2","x2*x4",0.999999991282836,NA
"S4",17,"Feature3","x7",0.150454533794245,NA
"S4",17,"Feature4","x3",0.096706875015436,NA
"S6",17,"Feature1","troot(x4*x4)",1,NA
"S6",17,"Feature2","x4*x3",0.683723598558761,NA
"S6",17,"Feature3","x4",0.325754378419748,NA
"S6",17,"Feature4","x4*x8",0.316276454627383,NA
"S6",17,"Feature5","x9",0.0553535806263953,NA
"S1",18,"Feature1","troot((x4*x6)*x4)",0.999561612291137,NA
"S1",18,"Feature2","x6",0.110909417308729,NA
"S1",18,"Feature3","x4",0.0890326413731869,NA
"S2",18,"Feature1","troot((x4*x6)*x4)",1,NA
"S2",18,"Feature2","x4",0.0816798413701254,NA
"S2",18,"Feature3","x1",0.0721059695155693,NA
"S2",18,"Feature4","x5",0.0689589727856464,NA
"S2",18,"Feature5","x8",0.064451317607098,NA
"S2",18,"Feature6","x9",0.063234334476016,NA
"S3",18,"Feature1","troot((x7*x4)*x4)",1,NA
"S3",18,"Feature2","x4",0.162116533514185,NA
"S3",18,"Feature3","x7",0.0995982734130308,NA
"S3",18,"Feature4","x5",0.0941233964121702,NA
"S4",18,"Feature1","x4",1,NA
"S4",18,"Feature2","sin_deg(x2*x8)",0.999999999999999,NA
"S4",18,"Feature3","x2*x8",0.999999999999999,NA
"S4",18,"Feature4","(x2*x8)*(x2*x8)",0.999999999999981,NA
"S4",18,"Feature5","p0(x2*x8)",0.992631192492778,NA
"S4",18,"Feature6","x2*x4",0.992096582569034,NA
"S4",18,"Feature7","x10",0.874520762390901,NA
"S4",18,"Feature8","x8",0.272850186552631,NA
"S4",18,"Feature9","x3",0.153554651110159,NA
"S4",18,"Feature10","sigmoid(x2)",0.0490466063131109,NA
"S4",18,"Feature11","x2",0.033300928523219,NA
"S4",18,"Feature12","x4*(x2*x8)",0.00951546154944843,NA
"S5",18,"Feature1","x4",1,NA
"S5",18,"Feature2","x4*x4",1,NA
"S5",18,"Feature3","x10*x4",0.999999947547487,NA
"S5",18,"Feature4","troot(x4)",0.999962705205189,NA
"S5",18,"Feature5","x10",0.28098841440111,NA
"S5",18,"Feature6","x5",0.132207837705886,NA
"S6",18,"Feature1","troot(x4*x4)",1,NA
"S6",18,"Feature2","x4*x2",0.999999785633071,NA
"S1",19,"Feature1","troot(x4*(x4*x7))",0.919347432809168,NA
"S1",19,"Feature2","x2",0.25360798887816,NA
"S1",19,"Feature3","x4*x2",0.0808044486024062,NA
"S1",19,"Feature4","troot(x4*x4)",0.0806550409143493,NA
"S1",19,"Feature5","x4",0.00568041648631053,NA
"S2",19,"Feature1","troot(x4*(x4*x7))",0.999999998959623,NA
"S2",19,"Feature2","x4",0.161464946276648,NA
"S3",19,"Feature1","troot((x4*x7)*x4)",0.999999716459034,NA
"S3",19,"Feature2","x4",0.130989450796466,NA
"S3",19,"Feature3","x6",0.11132779235521,NA
"S3",19,"Feature4","x5",0.0702994174234044,NA
"S3",19,"Feature5","p0(x4)",0.0235789994684596,NA
"S3",19,"Feature6","sin_deg(x2)",0.00173364691825971,NA
"S4",19,"Feature1","troot((x7*x4)*x4)",1,NA
"S4",19,"Feature2","x3",0.130872342722932,NA
"S4",19,"Feature3","x4",0.0199209768965874,NA
"S5",19,"Feature1","troot(x7*(x4*x4))",0.999999979328807,NA
"S5",19,"Feature2","x4",0.147752468029888,NA
"S5",19,"Feature3","x7",0.0835481014960663,NA
"S5",19,"Feature4","troot(x4)",0.00470597590645692,NA
"S6",19,"Feature1","troot(x4*(x4*x6))",1,NA
"S6",19,"Feature2","x6",0.0950810151168142,NA
"S6",19,"Feature3","x4",0.0835974508607183,NA
"S6",19,"Feature4","x5",0.0725841952350608,NA
"S6",19,"Feature5","x3",0.0696054005811246,NA
"S1",20,"Feature1","troot(x7*(x4*x4))",0.926175136559708,NA
"S1",20,"Feature2","x3",0.112285549788793,NA
"S1",20,"Feature3","x7",0.0901960852698813,NA
"S1",20,"Feature4","troot(x4*x4)",0.0738273205684292,NA
"S1",20,"Feature5","x2*x4",0.0738261391300343,NA
"S1",20,"Feature6","x2*x3",0.00213228555364562,NA
"S1",20,"Feature7","x5",0.00109837850595477,NA
"S2",20,"Feature1","troot((x7*x4)*x4)",1,NA
"S2",20,"Feature2","x2",0.228082331978764,NA
"S2",20,"Feature3","x4",0.124626213610356,NA
"S3",20,"Feature1","troot(x4*x4)",0.999663711978467,NA
"S3",20,"Feature2","x4*x2",0.992472808548562,NA
"S3",20,"Feature3","x4",0.0849965126784429,NA
"S3",20,"Feature4","x8*(x4*x2)",0.00752716713802179,NA
"S4",20,"Feature1","troot((x4*x6)*x4)",0.999999999999999,NA
"S4",20,"Feature2","x2",0.40472939241212,NA
"S4",20,"Feature3","x6",0.0802492338740399,NA
"S4",20,"Feature4","x1",0.0660062192638913,NA
"S4",20,"Feature5","x2*x9",0.0023399184916305,NA
"S5",20,"Feature1","troot(x9*(x4*x4))",1,NA
"S5",20,"Feature2","x4*x3",0.613129463063408,NA
"S5",20,"Feature3","x4",0.282671239651425,NA
"S5",20,"Feature4","p0(x8)",0.232460482148976,NA
"S5",20,"Feature5","x3",0.112674853676666,NA
"S6",20,"Feature1","troot(x7)*troot(x4*x4)",0.999391065620132,NA
"S6",20,"Feature2","x2",0.253450191690267,NA
"S6",20,"Feature3","x3",0.118060530679347,NA
"S6",20,"Feature4","x7",0.0659967727445332,NA
"S1",21,"Feature1","x4*x2",0.997938395591517,NA
"S1",21,"Feature2","troot(x4*x4)",0.984918275059984,NA
"S1",21,"Feature3","x4",0.0866478243354536,NA
"S1",21,"Feature4","troot((x9*x4)*x4)",0.0151219761586552,NA
"S1",21,"Feature5","x9*x4",0.00110154418109142,NA
"S2",21,"Feature1","troot(x4*(x7*x4))",0.999999998959038,NA
"S2",21,"Feature2","x4",0.161560924927743,NA
"S3",21,"Feature1","x4",0.999999999999998,NA
"S3",21,"Feature2","x4*x10",0.99998634535278,NA
"S3",21,"Feature3","troot(x4)*x4",0.987605721800849,NA
"S3",21,"Feature4","troot(x4)",0.0135552480345238,NA
"S3",21,"Feature5","x4*x4",0.0124079208758921,NA
"S4",21,"Feature1","troot(x6*(x4*x4))",1,NA
"S4",21,"Feature2","x4",0.093346526221384,NA
"S4",21,"Feature3","x1",0.0652135568960738,NA
"S5",21,"Feature1","x4",1,NA
"S5",21,"Feature2","x4*x10",1,NA
"S5",21,"Feature3","x4*troot(x4)",0.999992575777232,NA
"S5",21,"Feature4","x6",0.20566777232241,NA
"S5",21,"Feature5","x8",0.074693065246593,NA
"S6",21,"Feature1","troot(x6*(x4*x4))",1,NA
"S6",21,"Feature2","x2",0.39781998363306,NA
"S6",21,"Feature3","x7",0.067640487481205,NA
"S6",21,"Feature4","exp_dbl(x4)",0.00226058511719105,NA
"S1",22,"Feature1","x4*x2",0.923937958172739,NA
"S1",22,"Feature2","troot(x4*x4)",0.923937366463462,NA
"S1",22,"Feature3","x4",0.154323243628983,NA
"S1",22,"Feature4","x4*troot(x4)",0.0760630137603926,NA
"S1",22,"Feature5","x4*x10",0.0760625930552214,NA
"S1",22,"Feature6","x2",0.0160203533208623,NA
"S1",22,"Feature7","x9",0.00548523151230562,NA
"S2",22,"Feature1","troot((x6*x4)*x4)",0.997959651442916,NA
"S2",22,"Feature2","x4",0.00211552875432642,NA
"S2",22,"Feature3","troot(x4*x4)",0.00204507970570979,NA
"S2",22,"Feature4","x6*x4",0.00204077779329218,NA
"S3",22,"Feature1","x4",0.999999985579351,NA
"S3",22,"Feature2","x4*x10",0.999970956286332,NA
"S3",22,"Feature3","x4*troot(x4)",0.999784302762629,NA
"S3",22,"Feature4","x6",0.203793472251339,NA
"S3",22,"Feature5","troot(x4)",0.00152439804253025,NA
"S3",22,"Feature6","x6*x4",0.00137219867812842,NA
"S5",22,"Feature1","x4*x2",0.999999999547077,NA
"S5",22,"Feature2","troot(x4)*troot(x4)",0.999999999547064,NA
"S6",22,"Feature1","troot(x4)*troot(x4)",1,NA
"S6",22,"Feature2","x2*x4",0.99999935581127,NA
"S6",22,"Feature3","x6",0.211721205670481,NA
"S6",22,"Feature4","x4",0.0666668412438491,NA
"S6",22,"Feature5","exp_dbl(x4)",0.00176624365459146,NA
"S1",23,"Feature1","troot(x4)*troot(x4)",1,NA
"S1",23,"Feature2","x4*x2",0.953898682271874,NA
"S1",23,"Feature3","x4",0.0880806441220796,NA
"S1",23,"Feature4","x4*x3",0.0461816148114024,NA
"S2",23,"Feature1","troot((x4*x7)*x4)",0.998115527959034,NA
"S2",23,"Feature2","x4",0.00196184413186909,NA
"S2",23,"Feature3","x4*x7",0.00188447620178408,NA
"S2",23,"Feature4","troot(x4*x4)",0.00188447206888701,NA
"S2",23,"Feature5","x4*x9",0.00111603191043374,NA
"S3",23,"Feature1","troot(x4*x4)",1,NA
"S3",23,"Feature2","x4*x2",0.981337862082565,NA
"S3",23,"Feature3","x6",0.200370712971189,NA
"S3",23,"Feature4","x2",0.16250186472218,NA
"S3",23,"Feature5","x4",0.10904577435472,NA
"S3",23,"Feature6","x4*x6",0.0192755611280981,NA
"S3",23,"Feature7","exp_dbl(x4)",0.00111604517357567,NA
"S4",23,"Feature1","troot(x4*x4)",0.999999999995109,NA
"S4",23,"Feature2","x4*x2",0.999964716604941,NA
"S4",23,"Feature3","x2",0.16589176113372,NA
"S4",23,"Feature4","x3",0.0887570869027728,NA
"S4",23,"Feature5","x4",0.0832385192777213,NA
"S4",23,"Feature6","x8",0.0534095882043105,NA
"S5",23,"Feature1","troot((x6*x4)*x4)",0.999934638309967,NA
"S5",23,"Feature2","x6",0.109470881882631,NA
"S5",23,"Feature3","x7",0.106482402332599,NA
"S5",23,"Feature4","x4",0.100900938801967,NA
"S6",23,"Feature1","troot(x4*x4)",1,NA
"S6",23,"Feature2","x2*x4",0.999999999999994,NA
"S6",23,"Feature3","x7",0.16659824440058,NA
"S6",23,"Feature4","p3(x4)",0.0012044758182013,NA
"S1",24,"Feature1","x4*p0(x4)",1,NA
"S1",24,"Feature2","x4",1,NA
"S1",24,"Feature3","x4*p0(x10)",0.99944079217721,NA
"S1",24,"Feature4","exp_dbl(x2)",0.00105902793940126,NA
"S2",24,"Feature1","troot(x4*(x4*x7))",1,NA
"S2",24,"Feature2","x10",0.218849037135071,NA
"S2",24,"Feature3","troot(x4)",0.00572520712139309,NA
"S3",24,"Feature1","x4*x2",0.99999999993382,NA
"S3",24,"Feature2","troot(x4)*troot(x4)",0.999991460524473,NA
"S3",24,"Feature3","x2",0.181509714590773,NA
"S3",24,"Feature4","x4",0.0694056494071464,NA
"S3",24,"Feature5","troot(x4)",0.00128073682864186,NA
"S4",24,"Feature1","troot(x4*x4)",0.986171128667256,NA
"S4",24,"Feature2","x2*x4",0.981867874075162,NA
"S4",24,"Feature3","x4",0.106087337931093,NA
"S4",24,"Feature4","x5",0.092422408790136,NA
"S4",24,"Feature5","x4*x7",0.0173402553138474,NA
"S4",24,"Feature6","troot((x4*x4)*x9)",0.0138594017906236,NA
"S4",24,"Feature7","x1",0.0123718036709922,NA
"S4",24,"Feature8","p0(x4)",0.00100977318918381,NA
"S6",24,"Feature1","troot(x4*(x4*x6))",1,NA
"S6",24,"Feature2","x4",0.0919780641568156,NA
"S6",24,"Feature3","x5",0.0786783619416016,NA
"S1",25,"Feature1","x4",1,NA
"S1",25,"Feature2","x10*x4",0.999999999999821,NA
"S1",25,"Feature3","troot(x4)*x4",0.999804122624199,NA
"S1",25,"Feature4","x3*x4",0.00140289995563377,NA
"S2",25,"Feature1","troot(x4*(x4*x6))",1,NA
"S2",25,"Feature2","x4",0.0999413664539598,NA
"S3",25,"Feature1","troot(x4*x4)",1,NA
"S3",25,"Feature2","x2*x4",0.949915202005164,NA
"S3",25,"Feature3","x3*x4",0.0512085563606225,NA
"S3",25,"Feature4","x4",0.00783242087486793,NA
"S3",25,"Feature5","troot(x10)",0.00256629997839506,NA
"S4",25,"Feature1","troot(x4*(x6*x4))",1,NA
"S4",25,"Feature2","x6",0.122206377121397,NA
"S4",25,"Feature3","x4",0.101008769961785,NA
"S4",25,"Feature4","p0(x4)",0.00348749730687559,NA
"S5",25,"Feature1","troot(x4*x4)",0.998028989455196,NA
"S5",25,"Feature2","x2*x4",0.996639569999694,NA
"S5",25,"Feature3","x4",0.0892309269872726,NA
"S5",25,"Feature4","x10*x4",0.00532387312299312,NA
"S5",25,"Feature5","p0(x4)",0.00420212521379721,NA
"S5",25,"Feature6","x4*x4",0.0033547005643192,NA
"S5",25,"Feature7","x4*p0(x4)",0.00197422883136496,NA
"S5",25,"Feature8","p0(x6)",0.00129115488586302,NA
"S6",25,"Feature1","troot(x4*(x4*x7))",1,NA
"S6",25,"Feature2","x4",0.155052201921469,NA
"S6",25,"Feature3","x6",0.133655866777572,NA
"S6",25,"Feature4","x9",0.0573859070006644,NA
"S1",26,"Feature1","troot(x4*(x4*x7))",0.546007444918931,NA
"S1",26,"Feature2","troot(x4*(x4*x6))",0.453992566267588,NA
"S1",26,"Feature3","troot(x8)",0.00108513264091872,NA
"S2",26,"Feature1","troot((x4*x7)*x4)",1,NA
"S2",26,"Feature2","x10",0.226565874532323,NA
"S2",26,"Feature3","x4",0.147168659660047,NA
"S2",26,"Feature4","x7",0.0792774311552772,NA
"S2",26,"Feature5","x1",0.0588781361866752,NA
"S3",26,"Feature1","troot(x4*x4)",1,NA
"S3",26,"Feature2","x8*x4",0.999999999053038,NA
"S3",26,"Feature3","x4",0.716295604614134,NA
"S3",26,"Feature4","x2",0.139046322424878,NA
"S3",26,"Feature5","x4*x4",0.0338854815939177,NA
"S4",26,"Feature1","troot(x4*x4)",1,NA
"S4",26,"Feature2","x2*x4",0.974173360855168,NA
"S4",26,"Feature3","x4*x8",0.025827063762839,NA
"S4",26,"Feature4","x4",0.0187183604868265,NA
"S4",26,"Feature5","sigmoid(x4)",0.00133187396807501,NA
"S5",26,"Feature1","troot(x4*x4)",1,NA
"S5",26,"Feature2","x4*x3",0.665408584532736,NA
"S5",26,"Feature3","x4",0.344695527810344,NA
"S5",26,"Feature4","x4*x8",0.33457997811312,NA
"S6",26,"Feature1","troot(x4*x4)",0.980983027911304,NA
"S6",26,"Feature2","x3*x4",0.759540653038487,NA
"S6",26,"Feature3","x4",0.356937458169023,NA
"S6",26,"Feature4","x7*x4",0.239808006404442,NA
"S6",26,"Feature5","x10",0.114760681737736,NA
"S6",26,"Feature6","x1",0.0547474315056939,NA
"S6",26,"Feature7","troot(x4*x4)*x9",0.019701589851786,NA
"S6",26,"Feature8","x8",0.008296871391832,NA
"S6",26,"Feature9","x4*x4",0.00469276299694893,NA
"S1",27,"Feature1","x4",0.999999999999996,NA
"S1",27,"Feature2","x10*x4",0.999999999411901,NA
"S1",27,"Feature3","x4*troot(x4)",0.999635452974131,NA
"S1",27,"Feature4","troot(x4)",0.0015382492203741,NA
"S1",27,"Feature5","exp_dbl(x10)",0.00120925439161735,NA
"S2",27,"Feature1","troot(x4*(x4*x6))",1,NA
"S2",27,"Feature2","x10",0.383608184552091,NA
"S2",27,"Feature3","x8",0.0746438745756667,NA
"S2",27,"Feature4","x7",0.0448042087446101,NA
"S2",27,"Feature5","x4",0.0389023345102493,NA
"S2",27,"Feature6","x6",0.0357614388698329,NA
"S3",27,"Feature1","troot(x4*x4)",0.999999718447207,NA
"S3",27,"Feature2","x2*x4",0.960453214877102,NA
"S3",27,"Feature3","x10",0.188537911938449,NA
"S3",27,"Feature4","x4",0.0396063521149866,NA
"S3",27,"Feature5","x6*x4",0.0198111241312409,NA
"S3",27,"Feature6","x4*x9",0.0197977923428054,NA
"S4",27,"Feature1","troot(x4*x4)",1,NA
"S4",27,"Feature2","x2*x4",0.960248598885453,NA
"S4",27,"Feature3","x5",0.083272611231717,NA
"S4",27,"Feature4","x8",0.0630259303934958,NA
"S4",27,"Feature5","x4*x3",0.0407171489084289,NA
"S5",27,"Feature1","troot(x4*x4)",0.999982338645085,NA
"S5",27,"Feature2","x2*x4",0.983422950312013,NA
"S5",27,"Feature3","x7",0.143393678895124,NA
"S5",27,"Feature4","x9",0.085018658460328,NA
"S5",27,"Feature5","x1",0.0659703695346485,NA
"S5",27,"Feature6","x4",0.0218366664692318,NA
"S5",27,"Feature7","x6*x4",0.0171537909758421,NA
"S5",27,"Feature8","x8",0.00659767327585686,NA
"S6",27,"Feature1","troot(x4*(x4*x7))",1,NA
"S6",27,"Feature2","x6",0.164520133475859,NA
"S6",27,"Feature3","x4",0.0300786425884999,NA
"S1",28,"Feature1","troot((x4*x6)*x4)",0.999999993784295,NA
"S1",28,"Feature2","x6",0.10004282934703,NA
"S1",28,"Feature3","x7",0.0975661121619823,NA
"S1",28,"Feature4","x4",0.0798347103701364,NA
"S1",28,"Feature5","p0(x4)",0.00334136075144329,NA
"S2",28,"Feature1","troot(x4*x4)",1,NA
"S2",28,"Feature2","x2*x4",0.997186822156082,NA
"S2",28,"Feature3","x6",0.230678504906143,NA
"S2",28,"Feature4","x4",0.0881658013910481,NA
"S2",28,"Feature5","x7*(x2*x4)",0.00284567971761655,NA
"S2",28,"Feature6","p3(x7)",0.00107969920719282,NA
"S3",28,"Feature1","x4",0.999999999999743,NA
"S3",28,"Feature2","x4*troot(x4)",0.99674522744644,NA
"S3",28,"Feature3","x4*x10",0.989928002479028,NA
"S3",28,"Feature4","x3",0.070636235891406,NA
"S3",28,"Feature5","x9*(x4*x10)",0.0080109527574254,NA
"S3",28,"Feature6","x4*x9",0.00653176374323627,NA
"S3",28,"Feature7","x4*x4",0.00624981837360232,NA
"S4",28,"Feature1","troot(x4*x4)",0.999999715721495,NA
"S4",28,"Feature2","x2*x4",0.999999715721284,NA
"S4",28,"Feature3","x4",0.0844913005735749,NA
"S4",28,"Feature4","sigmoid(x4)",0.00114903931430811,NA
"S5",28,"Feature1","troot(x4*x4)",1,NA
"S5",28,"Feature2","x4*x8",0.999619792371222,NA
"S5",28,"Feature3","x4",0.670733448191218,NA
"S5",28,"Feature4","p3(x4)",0.0358982553181381,NA
"S5",28,"Feature5","x4*x4",0.0329855107670717,NA
"S1",29,"Feature1","troot((x6*x4)*x4)",0.999999885015394,NA
"S1",29,"Feature2","x4",0.0998357075837909,NA
"S2",29,"Feature1","troot(x4*(x6*x4))",0.999999986554194,NA
"S2",29,"Feature2","x4",0.0998173323548727,NA
"S4",29,"Feature1","troot(x4*(x4*x7))",1,NA
"S4",29,"Feature2","x4",0.131622263136558,NA
"S4",29,"Feature3","x6",0.10993392163953,NA
"S4",29,"Feature4","x7",0.0746292868923447,NA
"S5",29,"Feature1","x4",0.999975095774321,NA
"S5",29,"Feature2","x4*x4",0.992988439521238,NA
"S5",29,"Feature3","x4*x10",0.991366766623783,NA
"S5",29,"Feature4","x9*x4",0.858844250897202,NA
"S5",29,"Feature5","x2",0.301769138717355,NA
"S5",29,"Feature6","x10",0.122942216053866,NA
"S5",29,"Feature7","x4*x3",0.0775804680747987,NA
"S5",29,"Feature8","p3(x4)",0.0758077055580345,NA
"S5",29,"Feature9","x4*p0(x3*x4)",0.00823255962233126,NA
"S5",29,"Feature10","x8*(x9*x4)",0.00498123500759865,NA
"S6",29,"Feature1","troot(x4*x4)",1,NA
"S6",29,"Feature2","x4*x2",0.993366350083667,NA
"S6",29,"Feature3","x6",0.163851226001219,NA
"S6",29,"Feature4","x7",0.13272945341455,NA
"S6",29,"Feature5","x9",0.0745392061092661,NA
"S6",29,"Feature6","x4",0.068113785173805,NA
"S6",29,"Feature7","x8",0.0436150899661742,NA
"S6",29,"Feature8","x6*(x4*x2)",0.0066960132546463,NA
"S1",30,"Feature1","x4*troot(x4)",1,NA
"S1",30,"Feature2","x4",1,NA
"S1",30,"Feature3","x4*x10",0.999999998008547,NA
"S1",30,"Feature4","x10",0.154194242106303,NA
"S1",30,"Feature5","sin_deg(x4)",0.00482696397044429,NA
"S2",30,"Feature1","x4*x2",1,NA
"S2",30,"Feature2","troot(x4*x4)",0.999999999999896,NA
"S2",30,"Feature3","x3",0.0973568632434873,NA
"S2",30,"Feature4","x5",0.0742277871949113,NA
"S2",30,"Feature5","x4",0.0701335568829052,NA
"S3",30,"Feature1","x4",1,NA
"S3",30,"Feature2","x10*x4",1,NA
"S3",30,"Feature3","troot(x4)*x4",0.99995359981471,NA
"S3",30,"Feature4","x10",0.154184033492421,NA
"S3",30,"Feature5","p3(x6)",0.00116045261168106,NA
"S4",30,"Feature1","troot(x7*(x4*x4))",0.999999999441374,NA
"S4",30,"Feature2","x10",0.168955409815951,NA
"S4",30,"Feature3","x4",0.116345870896921,NA
"S4",30,"Feature4","x5",0.0620301778595129,NA
"S4",30,"Feature5","x1",0.0471853902880682,NA
"S5",30,"Feature1","troot(x4*x4)",1,NA
"S5",30,"Feature2","x2*x4",0.999875279364329,NA
"S5",30,"Feature3","x10",0.173335357468658,NA
"S5",30,"Feature4","x4",0.0701263736951482,NA
"S6",30,"Feature1","troot(x6*(x4*x4))",1,NA
"S6",30,"Feature2","x7",0.114001905748054,NA
"S6",30,"Feature3","x6",0.109351170447064,NA
"S6",30,"Feature4","x4",0.093478713184103,NA
"S6",30,"Feature5","x3",0.0734814474017091,NA
"S1",31,"Feature1","troot(x4*x4)",0.999999962866806,NA
"S1",31,"Feature2","x4*x2",0.969381296942427,NA
"S1",31,"Feature3","x7",0.161402587438265,NA
"S1",31,"Feature4","x4",0.10953112117587,NA
"S1",31,"Feature5","x8*x4",0.0250475030301353,NA
"S1",31,"Feature6","x9",0.0110207216164997,NA
"S1",31,"Feature7","(x8*x4)*x2",0.00557155992539949,NA
"S1",31,"Feature8","x5",0.00294385217583069,NA
"S1",31,"Feature9","troot(x4)",0.0012136533832149,NA
"S2",31,"Feature1","troot(x4*(x4*x7))",0.999999934207138,NA
"S2",31,"Feature2","x5",0.092881130491193,NA
"S2",31,"Feature3","x2*x9",0.00157270813322032,NA
"S3",31,"Feature1","troot(x4*x4)",1,NA
"S3",31,"Feature2","x4*x2",0.985368244031267,NA
"S3",31,"Feature3","x7",0.152287351250432,NA
"S3",31,"Feature4","x4",0.0851962602989633,NA
"S3",31,"Feature5","x9*x4",0.0146317518570246,NA
"S4",31,"Feature1","troot((x7*x4)*x4)",1,NA
"S4",31,"Feature2","x4",0.135457949630558,NA
"S4",31,"Feature3","x3",0.0897884727944165,NA
"S4",31,"Feature4","x5",0.0721811895863925,NA
"S5",31,"Feature1","troot(x4*x4)",0.999842114821792,NA
"S5",31,"Feature2","x4*x2",0.979231395914867,NA
"S5",31,"Feature3","x4",0.103523503862665,NA
"S5",31,"Feature4","x7*x4",0.0180240417171988,NA
"S5",31,"Feature5","x4*x4",0.00429955611206033,NA
"S5",31,"Feature6","x4*x10",0.00411345056644982,NA
"S6",31,"Feature1","troot(x4*x4)",1,NA
"S6",31,"Feature2","x2*x4",0.999999377211508,NA
"S4",32,"Feature2","x2*x4",NA,0.982607409415272
"S4",32,"Feature3","x4",NA,0.100633756680082
"S4",32,"Feature4","x5",NA,0.0892504291746703
"S4",32,"Feature5","x4*x6",NA,0.0179087434483708
"S5",32,"Feature1","troot(x4*x4)",NA,0.999994805032588
"S5",32,"Feature2","x4",NA,0.999374371671173
"S5",32,"Feature3","x4*x9",NA,0.839862507379332
"S5",32,"Feature4","x4*x4",NA,0.166584207015835
"S5",32,"Feature5","x10*x4",NA,0.163091295976507
"S6",32,"Feature1","x4",NA,1
"S6",32,"Feature2","x10*x4",NA,0.999999999410585
"S6",32,"Feature3","x4*troot(x4)",NA,0.999999976052129
"S5",33,"Feature1","x4*p0(x4)",0.99999999999335,NA
"S5",33,"Feature2","x4",0.995569399898975,NA
"S5",33,"Feature3","x7*x4",0.404863508793073,NA
"S5",33,"Feature4","x8*x4",0.370921405683705,NA
"S5",33,"Feature5","x7",0.293738187344051,NA
"S5",33,"Feature6","p3(x4)",0.282445835191288,NA
"S5",33,"Feature7","x2",0.264878880459042,NA
"S5",33,"Feature8","x4*x6",0.228993755528932,NA
"S5",33,"Feature9","x4*x3",0.164696207851784,NA
